screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"आज, आप सीखेंगे कि English में आप क्या चाहते हैं, यह कैसे कहें।",https://sn-main.b-cdn.net/system-uploads/scenario-data/0be56c16-0cd7-4d37-8b97-3481df27665a-Want1.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? मैं एक car चाहता हूँ।",https://sn-main.b-cdn.net/system-uploads/scenario-data/ebc30d58-dbf1-44d2-8720-13c6fc89382f-Want2.mp4,मैं एक car चाहता हूँ।,इसे English में बोलिए,,,I want a car,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
3,media,"वो sentence है 'I want a car' English में। आप 'I want a' का use उन चीज़ों के पहले करते हैं जिन्हें आप चाहते हैं जैसे car या house। Simple! चलिए, इसे इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/a81d03af-4974-4dfc-b0c6-743cf017091b-Want3.mp4,I want a [car],यह बोलना कि आप कुछ चाहते हो,,,,,,,TRUE,,,,
4,mcq,आपको कौन सा sentence सही लगता है जब आप कहना चाहते हैं कि आप एक pet चाहते हैं?,https://sn-main.b-cdn.net/system-uploads/scenario-data/35db87bb-fce3-4785-9a31-35e0d772f353-Want4.mp4,आपको कौन सा sentence सही लगता है जब आप कहना चाहते हैं कि आप एक pet चाहते हैं?,,,,,I want pet,I want a pet,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c07440bc-b25f-4903-af1e-08cec26f31d4-OU2-wrong-thats-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d4bd249b-2e7c-4051-be21-53b4abfb4537-OU2-partial-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: मैं एक book चाहता हूँ।,https://sn-main.b-cdn.net/system-uploads/scenario-data/51c973a0-02cc-403e-89ce-73c5a9533ff8-Want5.mp4,मैं एक book चाहता हूँ।,इसे English में बोलिए,I want a.....,,I want a book,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/3dc746a7-31d3-4099-bc86-c0351f10f8f9-OU2-wrong-v1.1-sadnova.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2701b0dd-ccf2-4a9e-820a-7907f05f3830-OU2-partial-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
6,translate,इसे English में बोलिए: मैं एक phone चाहता हूँ।,https://sn-main.b-cdn.net/system-uploads/scenario-data/d6015caa-8ec6-4d15-8162-6fef8ab56006-Want6.mp4,मैं एक phone चाहता हूँ।,इसे English में बोलिए,I want a.....,,I want a phone,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
7,media,"बहुत बढ़िया! लेकिन रुकिए — एक और बात है। जब अगला शब्द a, e, i, o, या u से शुरू होता है, तो हम 'a' की जगह 'an' का use करते हैं। जैसे 'I want an apple', 'I want a apple' नहीं। चलिए इसका practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/69efce6d-fbf7-43c1-8394-4c233ff6d9e2-Want7.mp4,हम 'a' की जगह 'an' का use करते हैं।,"जब शब्द a, e, i, o, या u से शुरू होता है",,,,,,,,,,,
8,mcq,"आप एक apple चाहते हैं, यह कहने के लिए कौन सा sentence सही है?",https://sn-main.b-cdn.net/system-uploads/scenario-data/f48311be-019e-4fd6-9492-4622db47797e-Want8.mp4,कौन सा sentence सही है यह बोलने के लिए कि आप एक apple चाहते हो?,,,,,I want an apple,I want a apple,a,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c07440bc-b25f-4903-af1e-08cec26f31d4-OU2-wrong-thats-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d4bd249b-2e7c-4051-be21-53b4abfb4537-OU2-partial-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
9,translate,इसे English में बोलिए: मैं एक umbrella चाहता हूँ।,https://sn-main.b-cdn.net/system-uploads/scenario-data/6f6790e0-947d-4560-9f41-4188c1f46bcc-Want9.mp4,मैं एक umbrella चाहता हूँ।,इसे English में बोलिए,I want an....,,I want an umbrella.,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/3dc746a7-31d3-4099-bc86-c0351f10f8f9-OU2-wrong-v1.1-sadnova.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2701b0dd-ccf2-4a9e-820a-7907f05f3830-OU2-partial-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
10,translate,मैं एक computer चाहता हूँ।,https://sn-main.b-cdn.net/system-uploads/scenario-data/9e12c4fa-f12c-4d9a-b4d7-bf5421b5869c-Want10.mp4,मैं एक computer चाहता हूँ।,इसे English में बोलिए,I want a...,,I want a computer.,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
11,translate,आख़िरी सवाल! मैं एक egg चाहता हूँ।,https://sn-main.b-cdn.net/system-uploads/scenario-data/0f1e0b9a-1019-4d65-a667-b79793c3af53-Want11.mp4,मैं एक egg चाहता हूँ।,इसे English में बोलिए,,,I want an egg.,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c07440bc-b25f-4903-af1e-08cec26f31d4-OU2-wrong-thats-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d4bd249b-2e7c-4051-be21-53b4abfb4537-OU2-partial-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
12,media,"बहुत बढ़िया! अब आइए real situations में practice करते हैं। आप अलग-अलग जगहों पर जाएंगे और लोग आपसे पूछेंगे कि आपको क्या चाहिए। आपने जो सीखा है, उसका इस्तेमाल करके English में जवाब दीजिए!",https://sn-main.b-cdn.net/system-uploads/scenario-data/a5cc7278-03f7-4285-b1f7-92979746851b-Want12.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
13,conversation,"Hello! We have dogs, cats, and rabbits. What pet do you want?",https://sn-main.b-cdn.net/system-uploads/scenario-data/51af271b-5a8e-4f34-9fa8-e8298dc6a703-pet-store-1.mp4,,"Hello! Welcome to the pet store! हमारे पास dogs, cats, और rabbits हैं। आप कौन सा pet चाहते हैं?",I want a...,,,,,,,,,,
14,conversation,Welcome! We have Android phones and iPhones. What phone do you want?,https://sn-main.b-cdn.net/system-uploads/scenario-data/85d96114-572f-42cc-8ca5-74a0951ad0a9-mobile-store-1.mp4,,Welcome to the mobile store! हमारे पास Android phones और iPhones हैं। आप कौन सा phone चाहते हैं?,I want an...,,,,,,,,,,
15,conversation,"Good evening! We have burgers, pizzas, and omelettes. What do you want to order?",https://sn-main.b-cdn.net/system-uploads/scenario-data/2f622cc3-6f0c-4343-8a09-fc4d0af3376b-cafe-1.mp4,,"Good evening! Welcome to our cafe. हमारे पास burgers, pizzas, और omelettes हैं। आप क्या order करना चाहते हैं?",,,,,,,,,,,
16,conversation,"Good afternoon! We have watches, bags, and umbrellas. What do you want to buy?",https://sn-main.b-cdn.net/system-uploads/scenario-data/a7043330-adc8-4431-af0f-f2111282626d-gift-shop-1.mp4,,"Good afternoon! Welcome to the gift store. हमारे पास watches, bags, और umbrellas हैं। आप क्या खरीदना करना चाहते हैं?",,,,,,,,,,,
17,conversation,"Hello! We have laptops, tablets, and adapters. What do you want to buy?",https://sn-main.b-cdn.net/system-uploads/scenario-data/5cb170bf-0ecb-431f-b1ec-ab0dd3a40cf3-electronics-store-1.mp4,,"Hello! Welcome to the electronics store! हमारे पास laptops, tablets, और adapters हैं। आप क्या खरीदना करना चाहते हैं?",,,,,,,,,,,
18,media,आपने बहुत अच्छा किया!,https://sn-main.b-cdn.net/system-uploads/scenario-data/12404fec-0b2e-478b-93a8-ba7e4ff5a41b-Want13.mp4,,Awesome! 👏,,,,,,,,,,,
19,conversation-result,,,,,,,,,,,,https://sn-main.b-cdn.net/system-uploads/scenario-data/11d59ee1-c2b1-4364-a8cf-2aaec573872d-want-conv-success.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d7cd4b43-2a90-4d1b-9f90-d5d70f790994-want-conv-failure.mp4,,
20,media,"अब आप जानते हैं कि English में consonants से पहले 'I want a' का use करके अपनी इच्छा कैसे बताएं, जैसे 'a car' और vowels से पहले 'I want an' का use करें, जैसे 'an apple'। Practice करते रहें और यह जल्द ही natural लगने लगेगा! ",https://sn-main.b-cdn.net/system-uploads/scenario-data/5f5ed54b-0dd2-4503-9395-bf29a2e3b8cb-Want14.mp4,I want a/an...,You learned this!  🎉,,Finish Lesson,,,,,,,,,