English Script (Introduce Yourself),Hindi Script (Introduce Yourself),heygen video name,,R2 link,Text Overlay,Human or Nova,Comments,
"Let's start our lesson. When you meet someone new, the first thing you say is your name. You say - ""My name is Nova."" Just replace Nova with your name! ","चलो अपना lesson शुरू करते हैं। जब आप किसी नए इंसान से मिलते हैं, तो सबसे पहले आप अपना नाम बताते हैं। आप बोलते हैं - ""My name is Nova."" बस Nova की जगह अपना नाम बोले!",FOV3 5,,https://sn-main.b-cdn.net/system-uploads/scenario-data/729a0c8b-920f-46f5-b79d-098412f1e1ea-FOV3_5.mp4,"""mainText"": My name is ____
ctaLabel: Next",,,
"Which option is correct for introducing your name to someone?
- My name is Krishna
- I am a Krishna","किसी को अपना नाम बताने के लिए, कौन सा option सही है?",FOV3 6,,https://sn-main.b-cdn.net/system-uploads/scenario-data/167deb36-ad1e-43c6-8d4f-ce73c0c92471-FOV3_6.mp4,"किसी को अपना नाम बताने के लिए, कौन सा option सही है?
- My name is Krishna
- I am a Krishna",,,
How would you introduce your name to someone?,आप किसी को अपना नाम कैसे बताओगे?,FOV3 7,,https://sn-main.b-cdn.net/system-uploads/scenario-data/c78f11a1-fa88-463d-9535-fdc1dcdd70e5-FOV3_7.mp4,"""mainText"": अपना नाम बताओगे
hint: My name is ____",,,
"When you want to tell someone your age, you can say 'I am 28 years old' but use your own age!","जब आप किसी को अपनी age बताना चाहते हैं, तो आप बोल सकते हैं 'I am 28 years old' लेकिन अपनी खुद की age use करें!",FOV3 8,,https://sn-main.b-cdn.net/system-uploads/scenario-data/34654f31-83b6-44c2-b3dc-86c43d641f4d-FOV3_8.mp4,"I am __ years old
Next",video,,
"Which option is correct for telling someone your age?

- I am 25 years old
- I having 25 years age","किसी को अपनी age बताने के लिए, कौन सा option सही है?",FOV3 9,,https://sn-main.b-cdn.net/system-uploads/scenario-data/2074a3a9-c8e7-43df-8564-40fb478ddacb-FOV3_9.mp4,"किसी को अपनी age बताने के लिए, कौन सा option सही है?
- I am 25 years old
- I having 25 years age""",,,
How would you tell someone your age?,आप किसी को अपनी age कैसे बताओगे?,FOV3 10,,https://sn-main.b-cdn.net/system-uploads/scenario-data/2ba88a8a-be7c-4cb7-a570-dfc4e74613dd-FOV3_10.mp4,"अपनी age बताओगे
I am __ years old",,,
"When you want to tell someone where you are from, you can say 'I am from Chennai' but use the city you are from!","जब आप किसी को बताना चाहते हैं कि आप कहाँ से हैं, तो आप बोल सकते हैं 'I am from Chennai' लेकिन अपनी city use करें!",FOV3 11,,https://sn-main.b-cdn.net/system-uploads/scenario-data/edadd3cf-5927-4fd9-a3a5-91a8a5e77721-FOV3_11.mp4,"I am from ____
Next",,,
"Which option is correct for telling someone where you are from?

- I am from London
- I coming from London","किसी को यह बताने के लिए, कि आप कहाँ से हो, कौन सा option सही है?",FOV3 12,,https://sn-main.b-cdn.net/system-uploads/scenario-data/9301cc46-2376-4682-bd69-313f51c004f0-FOV3_12.mp4,"किसी को यह बताने के लिए, कि आप कहाँ से हो, कौन सा option सही है?
- I am from London
- I coming from London""",,,
How would you tell someone where you are from?,आप किसी को कैसे बताओगे कि आप कहाँ से हो?,FOV3 13,,https://sn-main.b-cdn.net/system-uploads/scenario-data/50773976-a6c6-40df-9908-86af83b171d1-FOV3_13.mp4,"आप कहाँ से हो?
I am from ____",,,
" When you want to tell someone what you work as, you can say 'I am a teacher' but use your own job role!","जब आप किसी को बताना चाहते हैं कि आप क्या काम करते हैं तो आप बोल सकते हैं, 'I am a teacher' लेकिन अपनी खुद की job role use करें!",FOV3 14,,https://sn-main.b-cdn.net/system-uploads/scenario-data/9519b8ff-6882-4580-87df-5a051ee12b75-FOV3_14.mp4,"यह बताना कि आप क्या काम करते हो
I am a ____
Next",,,
"Which option is correct for telling someone your job role?

- I am a designer
- I do the design",किसी को अपनी job role बताने के लिए कौन सा option सही है?,FOV3 15,,https://sn-main.b-cdn.net/system-uploads/scenario-data/f7fd8ad7-2189-4808-ac61-63f21f7aa00d-FOV3_15.mp4,"""Which option is correct for telling someone your job role?

- I am a designer
- I do the design""",,,
How would you tell someone your job role?,आप किसी को अपनी job role कैसे बताओगे?,FOV3 16,,https://sn-main.b-cdn.net/system-uploads/scenario-data/e0027205-2908-4634-ae2f-ee6209b27c25-FOV3_16.mp4,"इसे use करें
I am a ____",,,
"When you finish introducing yourself to someone, you can say 'Nice to meet you' to be polite and friendly! This means you are happy to meet them for the first time.","जब आप अपना introduction पूरा कर लेते हैं, तो आप polite और friendly रहने के लिए 'Nice to meet you' बोल सकते हैं! इसका मतलब है कि आपको उनसे पहली बार मिलकर खुशी हुई।",FOV3 17,,https://sn-main.b-cdn.net/system-uploads/scenario-data/edd83432-8b69-4383-bcd6-e624f6ac6c50-FOV3_17.mp4,"introduction को अच्छे तरीके से ख़त्म करना
Nice to meet you
Next",,,
"Which option is correct for ending your introduction politely?

- Nice to meet you
- Bye",अपना introduction सही तरीके से ख़त्म करने के लिए कौन सा option सही है?,FOV3 18,,https://sn-main.b-cdn.net/system-uploads/scenario-data/63c4a178-6521-4e7d-b521-ff38277a6695-FOV3_18.mp4,"अपना introduction सही तरीके से ख़त्म करने के लिए कौन सा option सही है?
- Nice to meet you
- Bye",,,
How would you end your introduction politely?,आप अपना introduction सही तरीके से कैसे ख़त्म करोगे?,FOV3 19,,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d6e795-2e03-4b87-b064-d32b5c4d1284-FOV3_19.mp4,"इसे use करें
hint: Nice to meet you",,,
"Great! Now you're going to meet Priya, introduce yourself to her in English!","बढ़िया! अब आप Priya से मिलने वाले हैं, उसे English में अपना introduction दीजिए!",FOV3 20,,https://sn-main.b-cdn.net/system-uploads/scenario-data/88e8ebf2-c9fd-4062-996d-365fd1088e46-FOV3_20.mp4,"mainText: Now real conversation practice! 💬
ctaLabel: Meet Priya →",,,
Hi! I'm Priya! What's your name?,Hi! I'm Priya! What's your name?,FOV3 21,,https://sn-main.b-cdn.net/system-uploads/scenario-data/b2b1b5bf-f6e2-4832-a90e-fca2a9dd6017-FOV3_21.mp4,"subText: Reply in English reply
Hi! I'm Priya! What's your name?
hint: My name is ____",,,
That's a lovely name! How old are you?,That's a lovely name! How old are you?,FOV3 22,,https://sn-main.b-cdn.net/system-uploads/scenario-data/29554040-477f-4ef7-b188-e986c7f6e59e-FOV3_22.mp4,"subText: Reply in English reply
That's a lovely name! How old are you?",,,
Oh nice! I turned 28 last month. Where are you from?,Oh nice! I turned 28 last month. Where are you from?,FOV3 23,,https://sn-main.b-cdn.net/system-uploads/scenario-data/3ee09fcf-c84d-40ff-a415-b97d23e762ef-FOV3_23.mp4,Oh nice! I turned 28 last month. Where are you from?,,,
I've always wanted to visit there! What do you do?,Oh cool! What do you do?,FOV3 24,,https://sn-main.b-cdn.net/system-uploads/scenario-data/0b8ef048-ed12-4d42-a222-31412562f788-FOV3_24.mp4,I've always wanted to visit there! What do you do?,,,
Oh that's pretty cool! It was so great meeting you!,It was great meeting you! I hope I see you around later!,FOV3 25,,https://sn-main.b-cdn.net/system-uploads/scenario-data/20d0c551-da1d-4ca2-9e26-133d18f09c6b-FOV3_25.mp4,Oh that's pretty cool! It was so great meeting you!,,,
That was great! You spoke so well with Priya!,बहुत बढ़िया! आपने Priya के साथ बहुत अच्छे से बात की!,FOV3 26,,https://sn-main.b-cdn.net/system-uploads/scenario-data/aaa12900-359f-44e3-99de-d79ed051e238-FOV3_26.mp4,"mainText: Awesome!
ctaLabel: Next",,,
All your answers are correct!,आपके सारे answers सही हैं! Good job!,FOV3 27,,https://sn-main.b-cdn.net/system-uploads/scenario-data/9ff9ef71-f805-4826-808e-dd5dd57fb1fd-FOV3_27.mp4,,,,
Let's review some of the mistakes you made,चलो कुछ mistakes review करते हैं,FOV3 28,,https://sn-main.b-cdn.net/system-uploads/scenario-data/14d8c979-daea-4852-809d-075feaecf553-FOV3_28.mp4,,,,
"Great job! You just learnt the skill of telling your name, your age, where you are from, and what you do in English.","Great job! आपने अभी English में अपना name, अपनी age, आप कहाँ से हो, और आप क्या करते हो बताने की skill सीख ली।",,,,,,,
See how easy it was to learn a skill? 100s like these are waiting for you after this lesson!,देखा कितना easy था एक skill सीखना? ऐसी हज़ारों skills इस lesson के बाद आपका wait कर रही हैं!,,,,,,,
Amazing! You have a 1 day streak!,Amazing! आपकी 1 day की streak है!,,,,,,,
"Your streak grows Each day that you come back and complete a lesson

If you miss a day, your streak will break!","आपकी streak हर उस दिन बढ़ती है जब आप वापस आते हो और एक lesson complete करते हो

अगर आप एक दिन miss कर देते हो, तो आपकी streak टूट जाएगी!",,,,,,,
Your streak will help you keep track of the number of days you have completed in your English learning journey!,आपकी streak आपको track रखने में help करेगी कि आपने अपनी English learning journey में कितने दिन complete किए हैं!,,,,,,,
,,,,,,,,
,,,,,,,,
You now know how to introduce yourself in English using these lines!,अब आप जानते हो कि English में इन lines का use करके खुद को कैसे introduce करें!,FOV3 29,,https://sn-main.b-cdn.net/system-uploads/scenario-data/5dee2ebe-9b75-4cd7-9cf6-8345ed43f72c-FOV3_29.mp4,"That was great!
ctaLabel: Amazing",,,
,,,,,,,,5
Correct 1,,CORRECT 1 FOV3,,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/48e01722-656d-4cb7-adf2-79aeacdb5ca8-CORRECT-1-FOV3-v1.1.mp4  

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/df944622-2a6a-40aa-afec-906d6bdb0798-CORRECT-1-FOV3-v1.2.mp4  ",,,,
Correct 2,,CORRECT 2 FOV3,,"V2.1https://sn-main.b-cdn.net/system-uploads/scenario-data/dedd3a89-39da-4411-9bdc-2d83ce935c3a-CORRECT-2-FOV3-1.1.mp44 

V2.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/05508807-33dd-4d83-9a6b-99a785882422-CORRECT-2-FOV3-1.2.mp4 

V2.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/b4795db3-df7c-4e7b-908a-9851c026beb1-CORRECT-2-FOV3-1.3.mp4 ",,,,
Wrong 1,,WRONG 1 FOV3,,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/c25bea80-1de3-42d2-ac19-05acb9092dc6-WRONG-1-FOV3-v1.1.mp4  

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/b5036fc9-0043-4317-808e-c91064c1c916-WRONG-1-FOV3-v1.2.mp4  ",,,,
Wrong 2,,WRONG 2 FOV3,,"V2.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/e3c9fbf4-38b9-4a12-ad66-b826fc25e4ee-WRONG-2-FOV3-1.2.mp4  

V2.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/a81a49d2-7477-4707-bcd0-9b6caef74455-WRONG-2-FOV3-v1.1.mp4  ",,,,
Waiting,,wait FOV3,,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4,,,,
Partial,,partial correct F0V3,,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4 ",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
remember to do atleast one activity a day to boost your fluency!,,,,,,,,